NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.7MB / 71.1MB,104MB / 1.14GB,Up,2023-10-17 15:00:35.977758
ipsec-vpn-server,0.00%,7.867MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:00:35.977758
platform-nginx-1,0.02%,105MiB / 1.946GiB / 5.27%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:03:07.025019
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.7MB / 137MB,152MB / 319kB,Up,2023-10-17 15:03:07.025019
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:03:07.025019
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.7MB,Up,2023-10-17 15:03:07.025019
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.7MB / 71.1MB,104MB / 1.14GB,Up,2023-10-17 15:03:07.025019
ipsec-vpn-server,0.00%,8.512MiB / 1.946GiB / 0.43%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:03:07.025019
platform-nginx-1,0.02%,105.3MiB / 1.946GiB / 5.28%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:16:36.516669
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.8MB / 137MB,152MB / 319kB,Up,2023-10-17 15:16:36.516669
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:16:36.516669
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.8MB,Up,2023-10-17 15:16:36.516669
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.8MB / 71.2MB,104MB / 1.15GB,Up,2023-10-17 15:16:36.516669
ipsec-vpn-server,0.00%,7.867MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:16:36.516669
platform-nginx-1,0.02%,104.8MiB / 1.946GiB / 5.26%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:26:36.518466
odoo,0.13%,249.4MiB / 1.946GiB / 12.51%,77MB / 138MB,152MB / 319kB,Up,2023-10-17 15:26:36.518466
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,49.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:26:36.518466
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 48MB,Up,2023-10-17 15:26:36.518466
postgres,0.15%,139.9MiB / 1.946GiB / 7.02%,57MB / 71.3MB,104MB / 1.15GB,Up,2023-10-17 15:26:36.518466
ipsec-vpn-server,0.00%,7.879MiB / 1.946GiB / 0.40%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:26:36.518466
platform-nginx-1,0.02%,106.1MiB / 1.946GiB / 5.32%,113MB / 91.8MB,87.7MB / 58.2MB,Up,2023-10-17 15:36:36.523476
