NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
platform-nginx-1,0.06%,119.6MiB / 1.946GiB / 6.00%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:16:36.516465
odoo,1.72%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:16:36.516465
platform-pgadmin-1,0.06%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:16:36.516465
platform-dps-1,0.02%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.2MB,Up,2023-10-18 20:16:36.516465
postgres,1.51%,136MiB / 1.946GiB / 6.82%,80.8MB / 95.8MB,104MB / 1.68GB,Up,2023-10-18 20:16:36.516465
ipsec-vpn-server,0.00%,11.38MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:16:36.516465
platform-nginx-1,0.03%,119.7MiB / 1.946GiB / 6.00%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:18:29.252145
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:18:29.252145
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:18:29.252145
platform-dps-1,0.01%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.2MB,Up,2023-10-18 20:18:29.252145
postgres,0.05%,136MiB / 1.946GiB / 6.82%,80.8MB / 95.9MB,104MB / 1.68GB,Up,2023-10-18 20:18:29.252145
ipsec-vpn-server,0.00%,11.71MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:18:29.252145
platform-nginx-1,0.02%,115.9MiB / 1.946GiB / 5.81%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:19:24.717787
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:19:24.717787
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:19:24.717787
platform-dps-1,0.01%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.3MB,Up,2023-10-18 20:19:24.717787
postgres,0.00%,136MiB / 1.946GiB / 6.82%,80.8MB / 95.9MB,104MB / 1.68GB,Up,2023-10-18 20:19:24.717787
ipsec-vpn-server,0.00%,11.73MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:19:24.717787
platform-nginx-1,0.02%,116MiB / 1.946GiB / 5.82%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:26:05.408151
odoo,0.03%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:26:05.408151
platform-pgadmin-1,0.06%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:26:05.408151
platform-dps-1,0.03%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.3MB,Up,2023-10-18 20:26:05.408151
postgres,0.00%,136MiB / 1.946GiB / 6.82%,80.9MB / 96MB,104MB / 1.68GB,Up,2023-10-18 20:26:05.408151
ipsec-vpn-server,0.00%,12.05MiB / 1.946GiB / 0.60%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:26:05.408151
platform-nginx-1,0.02%,116.1MiB / 1.946GiB / 5.82%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:26:36.515542
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:26:36.515542
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:26:36.515542
platform-dps-1,0.01%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.3MB,Up,2023-10-18 20:26:36.515542
postgres,0.00%,136MiB / 1.946GiB / 6.82%,80.9MB / 96MB,104MB / 1.68GB,Up,2023-10-18 20:26:36.515542
ipsec-vpn-server,0.00%,11.41MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:26:36.515542
platform-nginx-1,0.03%,116.1MiB / 1.946GiB / 5.83%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:28:29.251907
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:28:29.251907
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:28:29.251907
platform-dps-1,0.01%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.4MB,Up,2023-10-18 20:28:29.251907
postgres,0.05%,136MiB / 1.946GiB / 6.82%,81MB / 96MB,104MB / 1.68GB,Up,2023-10-18 20:28:29.251907
ipsec-vpn-server,0.00%,11.75MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:28:29.251907
platform-nginx-1,0.02%,116.1MiB / 1.946GiB / 5.83%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:29:24.718679
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:29:24.718679
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:29:24.718679
platform-dps-1,0.01%,39.35MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.4MB,Up,2023-10-18 20:29:24.718679
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81MB / 96.1MB,104MB / 1.68GB,Up,2023-10-18 20:29:24.718679
ipsec-vpn-server,0.00%,11.75MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:29:24.718679
platform-nginx-1,0.02%,119.6MiB / 1.946GiB / 6.00%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:36:05.408974
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 199MB,158MB / 479kB,Up,2023-10-18 20:36:05.408974
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:36:05.408974
platform-dps-1,0.01%,39.35MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.5MB,Up,2023-10-18 20:36:05.408974
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.1MB / 96.2MB,104MB / 1.69GB,Up,2023-10-18 20:36:05.408974
ipsec-vpn-server,0.00%,12.04MiB / 1.946GiB / 0.60%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:36:05.408974
platform-nginx-1,0.02%,119.6MiB / 1.946GiB / 6.00%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:36:36.515612
odoo,0.03%,246.9MiB / 1.946GiB / 12.39%,106MB / 200MB,158MB / 479kB,Up,2023-10-18 20:36:36.515612
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:36:36.515612
platform-dps-1,0.01%,39.35MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.5MB,Up,2023-10-18 20:36:36.515612
postgres,0.05%,136MiB / 1.946GiB / 6.82%,81.1MB / 96.2MB,104MB / 1.69GB,Up,2023-10-18 20:36:36.515612
ipsec-vpn-server,0.00%,11.44MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:36:36.515612
platform-nginx-1,0.04%,119.6MiB / 1.946GiB / 6.00%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:38:29.251801
odoo,0.03%,246.9MiB / 1.946GiB / 12.39%,106MB / 200MB,158MB / 479kB,Up,2023-10-18 20:38:29.251801
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:38:29.251801
platform-dps-1,0.01%,39.35MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.5MB,Up,2023-10-18 20:38:29.251801
postgres,0.04%,136MiB / 1.946GiB / 6.82%,81.1MB / 96.2MB,104MB / 1.69GB,Up,2023-10-18 20:38:29.251801
ipsec-vpn-server,0.00%,11.71MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:38:29.251801
platform-nginx-1,0.02%,119.7MiB / 1.946GiB / 6.00%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:39:24.717819
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,106MB / 200MB,158MB / 479kB,Up,2023-10-18 20:39:24.717819
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:39:24.717819
platform-dps-1,0.01%,39.35MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.5MB,Up,2023-10-18 20:39:24.717819
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.1MB / 96.2MB,104MB / 1.69GB,Up,2023-10-18 20:39:24.717819
ipsec-vpn-server,0.00%,11.7MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:39:24.717819
platform-nginx-1,0.03%,119.8MiB / 1.946GiB / 6.01%,150MB / 127MB,101MB / 59MB,Up,2023-10-18 20:46:05.408331
odoo,0.03%,246.9MiB / 1.946GiB / 12.39%,106MB / 200MB,158MB / 479kB,Up,2023-10-18 20:46:05.408331
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:46:05.408331
platform-dps-1,0.02%,39.36MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.6MB,Up,2023-10-18 20:46:05.408331
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.2MB / 96.3MB,104MB / 1.69GB,Up,2023-10-18 20:46:05.408331
ipsec-vpn-server,0.00%,12.07MiB / 1.946GiB / 0.61%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:46:05.408331
platform-nginx-1,0.22%,120.3MiB / 1.946GiB / 6.03%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:46:36.515774
odoo,4.98%,246.9MiB / 1.946GiB / 12.39%,106MB / 207MB,158MB / 483kB,Up,2023-10-18 20:46:36.515774
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:46:36.515774
platform-dps-1,0.02%,39.36MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.6MB,Up,2023-10-18 20:46:36.515774
postgres,2.09%,136MiB / 1.946GiB / 6.82%,81.4MB / 96.4MB,104MB / 1.69GB,Up,2023-10-18 20:46:36.515774
ipsec-vpn-server,0.00%,11.42MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:46:36.515774
platform-nginx-1,0.03%,120.3MiB / 1.946GiB / 6.04%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:48:29.252728
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 20:48:29.252728
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:48:29.252728
platform-dps-1,0.01%,39.36MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.6MB,Up,2023-10-18 20:48:29.252728
postgres,0.04%,136MiB / 1.946GiB / 6.82%,81.4MB / 96.5MB,104MB / 1.69GB,Up,2023-10-18 20:48:29.252728
ipsec-vpn-server,0.00%,11.74MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:48:29.252728
platform-nginx-1,0.02%,120.3MiB / 1.946GiB / 6.04%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:49:24.718061
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 20:49:24.718061
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:49:24.718061
platform-dps-1,0.01%,39.36MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.6MB,Up,2023-10-18 20:49:24.718061
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.4MB / 96.5MB,104MB / 1.69GB,Up,2023-10-18 20:49:24.718061
ipsec-vpn-server,0.00%,11.71MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:49:24.718061
platform-nginx-1,0.02%,120.5MiB / 1.946GiB / 6.05%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:56:05.408114
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 20:56:05.408114
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:56:05.408114
platform-dps-1,0.03%,39.36MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,34.4MB / 69.7MB,Up,2023-10-18 20:56:05.408114
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.5MB / 96.6MB,104MB / 1.69GB,Up,2023-10-18 20:56:05.408114
ipsec-vpn-server,0.00%,12.05MiB / 1.946GiB / 0.60%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:56:05.408114
platform-nginx-1,0.02%,120.5MiB / 1.946GiB / 6.05%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:56:36.515814
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 20:56:36.515814
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:56:36.515814
platform-dps-1,0.01%,39.36MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.7MB,Up,2023-10-18 20:56:36.515814
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.5MB / 96.6MB,104MB / 1.69GB,Up,2023-10-18 20:56:36.515814
ipsec-vpn-server,0.00%,11.41MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:56:36.515814
platform-nginx-1,0.02%,120.6MiB / 1.946GiB / 6.05%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:58:29.251973
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 20:58:29.251973
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:58:29.251973
platform-dps-1,0.01%,39.36MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.7MB,Up,2023-10-18 20:58:29.251973
postgres,0.04%,136MiB / 1.946GiB / 6.82%,81.6MB / 96.6MB,104MB / 1.69GB,Up,2023-10-18 20:58:29.251973
ipsec-vpn-server,0.00%,11.75MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:58:29.251973
platform-nginx-1,0.02%,120.6MiB / 1.946GiB / 6.05%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 20:59:24.718321
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 20:59:24.718321
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 20:59:24.718321
platform-dps-1,0.02%,39.36MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.7MB,Up,2023-10-18 20:59:24.718321
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.6MB / 96.6MB,104MB / 1.69GB,Up,2023-10-18 20:59:24.718321
ipsec-vpn-server,0.00%,11.73MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 20:59:24.718321
platform-nginx-1,0.02%,115.2MiB / 1.946GiB / 5.78%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 21:06:05.408630
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 21:06:05.408630
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:06:05.408630
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.8MB,Up,2023-10-18 21:06:05.408630
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.6MB / 96.7MB,104MB / 1.7GB,Up,2023-10-18 21:06:05.408630
ipsec-vpn-server,0.00%,12.07MiB / 1.946GiB / 0.61%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:06:05.408630
platform-nginx-1,0.02%,115.2MiB / 1.946GiB / 5.78%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 21:06:36.515777
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 21:06:36.515777
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:06:36.515777
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.8MB,Up,2023-10-18 21:06:36.515777
postgres,0.00%,136MiB / 1.946GiB / 6.82%,81.6MB / 96.7MB,104MB / 1.7GB,Up,2023-10-18 21:06:36.515777
ipsec-vpn-server,0.00%,11.45MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:06:36.515777
platform-nginx-1,0.02%,115.3MiB / 1.946GiB / 5.78%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 21:08:29.252194
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 21:08:29.252194
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:08:29.252194
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.9MB,Up,2023-10-18 21:08:29.252194
postgres,0.07%,136MiB / 1.946GiB / 6.82%,81.7MB / 96.7MB,104MB / 1.7GB,Up,2023-10-18 21:08:29.252194
ipsec-vpn-server,0.00%,11.75MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:08:29.252194
platform-nginx-1,0.02%,115.3MiB / 1.946GiB / 5.79%,157MB / 134MB,101MB / 59MB,Up,2023-10-18 21:09:24.718069
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,107MB / 207MB,158MB / 483kB,Up,2023-10-18 21:09:24.718069
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:09:24.718069
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 69.9MB,Up,2023-10-18 21:09:24.718069
postgres,0.01%,136MiB / 1.946GiB / 6.82%,81.7MB / 96.7MB,104MB / 1.7GB,Up,2023-10-18 21:09:24.718069
ipsec-vpn-server,0.00%,11.81MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:09:24.718069
platform-nginx-1,0.02%,115.7MiB / 1.946GiB / 5.81%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:16:05.409246
odoo,0.02%,247MiB / 1.946GiB / 12.39%,108MB / 215MB,158MB / 500kB,Up,2023-10-18 21:16:05.409246
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.3kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:16:05.409246
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70MB,Up,2023-10-18 21:16:05.409246
postgres,0.00%,137.8MiB / 1.946GiB / 6.91%,82.1MB / 97.3MB,104MB / 1.7GB,Up,2023-10-18 21:16:05.409246
ipsec-vpn-server,0.00%,12.1MiB / 1.946GiB / 0.61%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:16:05.409246
platform-nginx-1,0.02%,115.7MiB / 1.946GiB / 5.81%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:16:36.518795
odoo,0.02%,247MiB / 1.946GiB / 12.39%,108MB / 215MB,158MB / 500kB,Up,2023-10-18 21:16:36.518795
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.3kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:16:36.518795
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70MB,Up,2023-10-18 21:16:36.518795
postgres,0.05%,138.3MiB / 1.946GiB / 6.94%,82.2MB / 97.3MB,104MB / 1.7GB,Up,2023-10-18 21:16:36.518795
ipsec-vpn-server,0.00%,11.43MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:16:36.518795
platform-nginx-1,0.02%,115.8MiB / 1.946GiB / 5.81%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:18:29.252627
odoo,0.02%,247MiB / 1.946GiB / 12.39%,108MB / 216MB,158MB / 500kB,Up,2023-10-18 21:18:29.252627
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.3kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:18:29.252627
platform-dps-1,0.01%,39.38MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70MB,Up,2023-10-18 21:18:29.252627
postgres,0.04%,138.6MiB / 1.946GiB / 6.95%,82.3MB / 97.4MB,104MB / 1.7GB,Up,2023-10-18 21:18:29.252627
ipsec-vpn-server,0.07%,11.45MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:18:29.252627
platform-nginx-1,0.02%,115.8MiB / 1.946GiB / 5.81%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:19:24.718050
odoo,0.02%,247MiB / 1.946GiB / 12.39%,108MB / 216MB,158MB / 500kB,Up,2023-10-18 21:19:24.718050
platform-pgadmin-1,0.07%,116.7MiB / 1.946GiB / 5.86%,58.3kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:19:24.718050
platform-dps-1,0.01%,39.38MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70MB,Up,2023-10-18 21:19:24.718050
postgres,0.00%,138.6MiB / 1.946GiB / 6.95%,82.3MB / 97.4MB,104MB / 1.7GB,Up,2023-10-18 21:19:24.718050
ipsec-vpn-server,0.00%,11.77MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:19:24.718050
platform-nginx-1,0.02%,116MiB / 1.946GiB / 5.82%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:26:05.407994
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,108MB / 216MB,158MB / 504kB,Up,2023-10-18 21:26:05.407994
platform-pgadmin-1,0.04%,116.4MiB / 1.946GiB / 5.84%,58.6kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:26:05.407994
platform-dps-1,0.02%,39.38MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70.1MB,Up,2023-10-18 21:26:05.407994
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,82.4MB / 97.5MB,104MB / 1.7GB,Up,2023-10-18 21:26:05.407994
ipsec-vpn-server,0.00%,12.06MiB / 1.946GiB / 0.61%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:26:05.407994
platform-nginx-1,0.02%,116MiB / 1.946GiB / 5.82%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:26:36.515774
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,108MB / 216MB,158MB / 504kB,Up,2023-10-18 21:26:36.515774
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.6kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:26:36.515774
platform-dps-1,0.02%,39.38MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70.1MB,Up,2023-10-18 21:26:36.515774
postgres,0.04%,138.7MiB / 1.946GiB / 6.96%,82.4MB / 97.5MB,104MB / 1.7GB,Up,2023-10-18 21:26:36.515774
ipsec-vpn-server,0.00%,11.41MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:26:36.515774
platform-nginx-1,0.02%,116.1MiB / 1.946GiB / 5.82%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:28:29.252171
odoo,0.03%,246.9MiB / 1.946GiB / 12.39%,108MB / 216MB,158MB / 504kB,Up,2023-10-18 21:28:29.252171
platform-pgadmin-1,0.04%,116.7MiB / 1.946GiB / 5.86%,58.6kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:28:29.252171
platform-dps-1,0.02%,39.38MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70.1MB,Up,2023-10-18 21:28:29.252171
postgres,0.79%,138.7MiB / 1.946GiB / 6.96%,82.4MB / 97.5MB,104MB / 1.7GB,Up,2023-10-18 21:28:29.252171
ipsec-vpn-server,0.08%,11.45MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:28:29.252171
platform-nginx-1,0.02%,116.1MiB / 1.946GiB / 5.82%,166MB / 142MB,101MB / 59MB,Up,2023-10-18 21:29:24.718132
odoo,0.02%,246.9MiB / 1.946GiB / 12.39%,108MB / 216MB,158MB / 504kB,Up,2023-10-18 21:29:24.718132
platform-pgadmin-1,0.05%,116.7MiB / 1.946GiB / 5.86%,58.6kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 21:29:24.718132
platform-dps-1,0.01%,39.38MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34.4MB / 70.1MB,Up,2023-10-18 21:29:24.718132
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,82.4MB / 97.6MB,104MB / 1.7GB,Up,2023-10-18 21:29:24.718132
ipsec-vpn-server,0.00%,11.74MiB / 1.946GiB / 0.59%,1.38GB / 1.44GB,19.1MB / 143kB,Up,2023-10-18 21:29:24.718132
