CPU %,Memory %,Memory mb,Memory max,Disk %,Date/Time
2.1,47.8,767016960,1091137536,37.6,2023-10-17 22:56:05.408210
2.1,47.8,767029248,1091125248,37.6,2023-10-17 22:56:36.515313
2.1,47.8,767778816,1090375680,37.6,2023-10-17 22:58:29.251978
2.1,47.8,767840256,1090314240,37.6,2023-10-17 22:59:24.718487
2.0,47.8,768020480,1090134016,37.6,2023-10-17 23:06:05.408724
2.0,47.8,767393792,1090760704,37.6,2023-10-17 23:06:36.518219
2.0,47.8,767664128,1090490368,37.6,2023-10-17 23:08:29.252453
2.0,47.9,768401408,1089753088,37.6,2023-10-17 23:09:24.718160
1.9,47.8,767705088,1090449408,37.6,2023-10-17 23:16:05.408165
1.9,47.8,766345216,1091809280,37.6,2023-10-17 23:16:36.515839
1.9,47.9,769118208,1089036288,37.6,2023-10-17 23:18:29.252269
1.9,47.8,767483904,1090666496,37.6,2023-10-17 23:19:24.717854
1.9,47.8,767414272,1090740224,37.6,2023-10-17 23:26:05.408310
1.9,47.8,767508480,1090646016,37.6,2023-10-17 23:26:36.515406
1.9,47.8,767623168,1090531328,37.6,2023-10-17 23:28:29.252026
1.9,47.9,769019904,1089077248,37.6,2023-10-17 23:29:24.718260
1.9,48.0,772104192,1085997056,37.6,2023-10-17 23:36:05.408382
1.9,48.0,771833856,1086267392,37.6,2023-10-17 23:36:36.515577
2.0,48.3,776777728,1081323520,37.6,2023-10-17 23:38:29.252158
2.0,48.0,772157440,1085943808,37.6,2023-10-17 23:39:24.718111
2.0,48.2,774836224,1083265024,37.6,2023-10-17 23:46:05.408468
2.0,48.0,771706880,1086394368,37.6,2023-10-17 23:46:36.515433
2.0,48.1,774115328,1083985920,37.6,2023-10-17 23:48:29.251969
2.0,48.1,772472832,1085624320,37.6,2023-10-17 23:49:24.718213
2.2,48.2,774959104,1083142144,37.6,2023-10-17 23:56:05.409054
2.2,48.1,774225920,1083875328,37.6,2023-10-17 23:56:36.518586
2.3,48.2,775823360,1082277888,37.6,2023-10-17 23:58:29.252123
2.3,48.2,774615040,1083486208,37.6,2023-10-17 23:59:24.717998
2.5,48.2,775933952,1082159104,37.6,2023-10-18 00:06:05.408106
2.5,48.1,773722112,1084370944,37.6,2023-10-18 00:06:36.515945
2.6,48.3,776658944,1081417728,37.6,2023-10-18 00:08:29.252162
2.6,48.3,776790016,1081282560,37.6,2023-10-18 00:09:24.717805
2.7,48.2,776044544,1082011648,37.6,2023-10-18 00:16:05.408185
2.7,48.1,774184960,1083875328,37.6,2023-10-18 00:16:36.515355
2.8,48.0,770560000,1087500288,37.6,2023-10-18 00:18:29.251974
2.8,47.9,770244608,1087815680,37.6,2023-10-18 00:19:24.718292
2.8,47.9,770207744,1087852544,37.6,2023-10-18 00:26:05.408639
2.8,47.9,769671168,1088389120,37.6,2023-10-18 00:26:36.515564
2.8,47.9,769306624,1088753664,37.6,2023-10-18 00:28:29.252321
2.8,47.9,769335296,1088724992,37.6,2023-10-18 00:29:24.718041
2.8,47.9,769605632,1088454656,37.6,2023-10-18 00:36:05.407599
2.8,47.9,768995328,1089064960,37.6,2023-10-18 00:36:36.515216
2.8,47.9,769605632,1088454656,37.6,2023-10-18 00:38:29.252459
2.8,47.9,769310720,1088749568,37.6,2023-10-18 00:39:24.718283
2.8,48.1,772608000,1085452288,37.7,2023-10-18 00:46:05.407920
2.8,48.0,770920448,1087139840,37.7,2023-10-18 00:46:36.515255
2.8,48.0,771002368,1087057920,37.7,2023-10-18 00:48:29.251845
2.8,48.0,771104768,1086955520,37.7,2023-10-18 00:49:24.718401
2.7,48.1,772595712,1085464576,37.7,2023-10-18 00:56:05.408908
2.7,48.1,772599808,1085460480,37.7,2023-10-18 00:56:36.516563
2.7,48.1,772591616,1085468672,37.7,2023-10-18 00:58:29.252364
2.7,48.0,771649536,1086410752,37.7,2023-10-18 00:59:24.717887
2.7,48.0,772042752,1086013440,37.7,2023-10-18 01:06:05.407860
2.7,48.1,772440064,1085616128,37.7,2023-10-18 01:06:36.515695
2.6,48.1,773021696,1085038592,37.7,2023-10-18 01:08:29.252333
2.6,48.1,773050368,1085009920,37.7,2023-10-18 01:09:24.717866
2.6,48.0,771596288,1086464000,37.7,2023-10-18 01:16:05.408353
2.6,48.0,771923968,1086136320,37.7,2023-10-18 01:16:36.515571
2.6,48.0,771268608,1086791680,37.7,2023-10-18 01:18:29.251749
2.5,48.0,770994176,1087066112,37.7,2023-10-18 01:19:24.717697
0.0,48.0,771584000,1086476288,37.7,2023-10-18 01:20:39.853853
2.5,48.0,770359296,1087700992,37.7,2023-10-18 01:26:05.407873
2.5,47.9,770072576,1087987712,37.7,2023-10-18 01:26:36.515534
2.5,47.9,770195456,1087864832,37.7,2023-10-18 01:28:29.252423
2.5,47.9,770166784,1087893504,37.7,2023-10-18 01:29:24.718258
2.5,47.9,770068480,1087991808,37.7,2023-10-18 01:36:05.408298
2.5,47.9,769499136,1088561152,37.7,2023-10-18 01:36:36.515687
2.5,47.9,769839104,1088221184,37.7,2023-10-18 01:38:29.252577
2.5,47.9,769970176,1088090112,37.7,2023-10-18 01:39:24.718017
2.5,48.0,770617344,1087426560,37.7,2023-10-18 01:46:05.407883
2.6,47.9,769855488,1088204800,37.7,2023-10-18 01:46:36.516256
2.6,48.0,771776512,1086283776,37.7,2023-10-18 01:48:29.252020
2.6,47.9,770207744,1087852544,37.7,2023-10-18 01:49:24.717736
2.6,48.0,770863104,1087197184,37.7,2023-10-18 01:56:05.408441
2.6,47.9,769843200,1088217088,37.7,2023-10-18 01:56:36.518298
2.5,47.9,768528384,1089531904,37.7,2023-10-18 01:58:29.251892
2.5,47.9,768876544,1089183744,37.7,2023-10-18 01:59:24.718422
2.3,47.9,768241664,1089818624,37.7,2023-10-18 02:06:05.407769
2.2,47.8,767807488,1090252800,37.7,2023-10-18 02:06:36.515035
2.1,47.8,768192512,1089867776,37.7,2023-10-18 02:08:29.251949
2.0,47.8,767696896,1090359296,37.7,2023-10-18 02:09:24.718168
1.9,48.0,771547136,1086513152,37.7,2023-10-18 02:16:05.407990
